DB/TABLE|Send to Lake|PII (Y/N)|CDC Column|LookUp Ref|HardDeleteFlag|PartitionBy|NumPartitions|Rows|Note
PolicyCenterAgg.dbo.pctl_airzonerate_bop_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_alarmcertification|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_alarmclass|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_alarmdescription|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_alarmgrade|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_alarmtype_hoe|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_amsapti_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_animalbreed_hoe|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_animalbreed_pue|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_animaltype_hoe|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_animaltype_pue|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_antitheftdevicecl_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_antithefttypeky_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_antithefttype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_antitheft|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_approvalstatus|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_arbitrationtype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_archivefinalstatus|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_archivemethod|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_archivesourcestatus|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_archivestate|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_arealeased|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_arrangementtype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_assignmentsearchtype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_assignmentselectiontype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_assignmentstatus|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_attachmentbasistype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_attributederivedflag_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_auditbusinessdayadjust|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_auditescalationprompttype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_auditfrequency|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_auditintervalcomputetype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_auditmethod|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_auditreportdatedirection|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_auditscheduletype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_autoincrease|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_autosync|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_availabilitytype|Y||Truncate and Load|TypeList|||||
