DB/Table|Source Column|Ref Table Column|Typelist (per Dictionary)|Final Harmonized Column Names (3)|Attributes from Lookup Table
policycenterlite.dbo.pcx_bp7classschedcovitem|Subtype|ID|policycenterlite.dbo.pctl_BP7ClassSchedCovItem|pctl_BP7ClassSchedCovItem_TypeCode_Subtype / pctl_BP7ClassSchedCovItem_Name_Subtype / pctl_BP7ClassSchedCovItem_Description_Subtype|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7coastalcounties_ext|Action|ID|policycenterlite.dbo.pctl_BP7ActionCoastal_Ext|pctl_BP7ActionCoastal_Ext_TypeCode / pctl_BP7ActionCoastal_Ext_Name / pctl_BP7ActionCoastal_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7coastalcounties_ext|State|ID|policycenterlite.dbo.pctl_State|pctl_State_TypeCode / pctl_State_Name / pctl_State_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|ActualAmount_cur|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode19 /  pctl_Currency_Name19 /  pctl_Currency_Description19|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|ActualAmountBilling_cur|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode7 /  pctl_Currency_Name7 /  pctl_Currency_Description7|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|ActualTermAmount_cur|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode8 /  pctl_Currency_Name8 /  pctl_Currency_Description8|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|ActualTermAmountBilling_cur|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode1 / pctl_Currency_Name1 / pctl_Currency_Description1|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode /  pctl_EffDatedChangeType_Name /  pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|ChargePattern|ID|policycenterlite.dbo.pctl_ChargePattern|pctl_ChargePattern_TypeCode / pctl_ChargePattern_Name / pctl_ChargePattern_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|OverrideAmount_cur|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode2 / pctl_Currency_Name2 / pctl_Currency_Description2|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|OverrideAmountBilling_cur|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode3 / pctl_Currency_Name3 / pctl_Currency_Description3|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|OverrideSource|ID|policycenterlite.dbo.pctl_OverrideSourceType|pctl_OverrideSourceType_TypeCode /  pctl_OverrideSourceType_Name /  pctl_OverrideSourceType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|OverrideTermAmount_cur|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode4 / pctl_Currency_Name4 / pctl_Currency_Description4|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|OverrideTermAmountBilling_cur|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode5 / pctl_Currency_Name5 / pctl_Currency_Description5|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|ProrationMethod|ID|policycenterlite.dbo.pctl_ProrationMethod|pctl_ProrationMethod_TypeCode /  pctl_ProrationMethod_Name /  pctl_ProrationMethod_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|RateAmountType|ID|policycenterlite.dbo.pctl_RateAmountType|pctl_RateAmountType_TypeCode /  pctl_RateAmountType_Name /  pctl_RateAmountType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|RoundingMode|ID|policycenterlite.dbo.pctl_RoundingModeType|pctl_RoundingModeType_TypeCode /  pctl_RoundingModeType_Name /  pctl_RoundingModeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|StandardAmount_cur|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode9 /  pctl_Currency_Name9 /  pctl_Currency_Description9|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|StandardAmountBilling_cur|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode10 /  pctl_Currency_Name10 /  pctl_Currency_Description10|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|StandardTermAmount_cur|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode11 /  pctl_Currency_Name11 /  pctl_Currency_Description11|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|StandardTermAmountBilling_cur|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode12 /  pctl_Currency_Name12 /  pctl_Currency_Description12|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|Subtype|ID|policycenterlite.dbo.pctl_BP7Cost|pctl_BP7Cost_TypeCode / pctl_BP7Cost_Name / pctl_BP7Cost_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|AllOtherCov_TermPremium_cur|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode13 /  pctl_Currency_Name13 /  pctl_Currency_Description13|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|EarthQuake_TermPremium_cur|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode6 /  pctl_Currency_Name6 /  pctl_Currency_Description6|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|FinalCollectionFee_cur|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode18 /  pctl_Currency_Name18 /  pctl_Currency_Description18|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|jurisdiction|ID|policycenterlite.dbo.pctl_Jurisdiction|pctl_Jurisdiction_TypeCode /  pctl_Jurisdiction_Name /  pctl_Jurisdiction_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|LineLevel_TermPremium_cur|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode17 /  pctl_Currency_Name17 /  pctl_Currency_Description17|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|LPGT_Casualty_TermPremium_cur|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode16 /  pctl_Currency_Name16 /  pctl_Currency_Description16|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|LPGT_FP_TermPremium_cur|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode15 /  pctl_Currency_Name15 /  pctl_Currency_Description15|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|MineSubsidence_TermPremium_cur|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode14 /  pctl_Currency_Name14 /  pctl_Currency_Description14|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|BP7PremType|ID|policycenterlite.dbo.pctl_BP7PremType_Ext|pctl_BP7PremType_Ext_TypeCode / pctl_BP7PremType_Ext_Name / pctl_BP7PremType_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7cost|BP7SurchargeType|ID|policycenterlite.dbo.pctl_BP7SurchargeType_Ext|pctl_BP7SurchargeType_Ext_TypeCode / pctl_BP7SurchargeType_Ext_Name / pctl_BP7SurchargeType_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7territory|State|ID|policycenterlite.dbo.pctl_Jurisdiction|pctl_Jurisdiction_TypeCode_State / pctl_Jurisdiction_Name_State / pctl_Jurisdiction_Description_State|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7tertry_desc|Language|ID|policycenterlite.dbo.pctl_LanguageType|pctl_LanguageType_TypeCode_Language / pctl_LanguageType_Name_Language / pctl_LanguageType_Description_Language|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7industrycodedetails|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7industrycodedetails|classificationDescription|ID|policycenterlite.dbo.pctl_BP7ClassDescription|pctl_BP7ClassDescription_TypeCode / pctl_BP7ClassDescription_Name / pctl_BP7ClassDescription_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7industrycodedetails|IndustryType|ID|policycenterlite.dbo.pctl_bp7classificationproperty|pctl_bp7classificationproperty_TypeCode / pctl_bp7classificationproperty_Name / pctl_bp7classificationproperty_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7industrytype|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7industrytype|industryType|ID|policycenterlite.dbo.pctl_BP7PropertyType|pctl_BP7PropertyType_TypeCode / pctl_BP7PropertyType_Name / pctl_BP7PropertyType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7linecond|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7linecond|Currency|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode_Currency / pctl_Currency_Name_Currency / pctl_Currency_Description_Currency|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7linecond|Subtype|ID|policycenterlite.dbo.pctl_BP7LineCond|pctl_BP7LineCond_TypeCode_Subtype / pctl_BP7LineCond_Name_Subtype / pctl_BP7LineCond_Description_Subtype|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7linecov|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7linecov|Currency|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode / pctl_Currency_Name / pctl_Currency_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7linecov|ServiceTypeExt|ID|policycenterlite.dbo.pctl_BP7ServiceType_Ext|pctl_BP7ServiceType_Ext_TypeCode / pctl_BP7ServiceType_Ext_Name / pctl_BP7ServiceType_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7linecov|Subtype|ID|policycenterlite.dbo.pctl_BP7LineCov|pctl_BP7LineCov_TypeCode / pctl_BP7LineCov_Name / pctl_BP7LineCov_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7lineexcl|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7lineexcl|Currency|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode / pctl_Currency_Name / pctl_Currency_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7lineexcl|Subtype|ID|policycenterlite.dbo.pctl_BP7LineExcl|pctl_BP7LineExcl_TypeCode / pctl_BP7LineExcl_Name / pctl_BP7LineExcl_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7linemod|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7linemod|State|ID|policycenterlite.dbo.pctl_Jurisdiction|pctl_Jurisdiction_TypeCode / pctl_Jurisdiction_Name / pctl_Jurisdiction_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7linemod|Subtype|ID|policycenterlite.dbo.pctl_BP7LineMod|pctl_BP7LineMod_TypeCode / pctl_BP7LineMod_Name / pctl_BP7LineMod_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7linerf|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7lineschedconditem|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7lineschedconditem|PreferredCoverageCurrency|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode_PreferredCoverageCurrency / pctl_Currency_Name_PreferredCoverageCurrency / pctl_Currency_Description_PreferredCoverageCurrency|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7lineschedconditem|Subtype|ID|policycenterlite.dbo.pctl_BP7LineSchedCondItem|pctl_BP7LineSchedCondItem_TypeCode_Subtype / pctl_BP7LineSchedCondItem_Name_Subtype / pctl_BP7LineSchedCondItem_Description_Subtype|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7lineschedcovitem|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7lineschedcovitem|PreferredCoverageCurrency|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode_PreferredCoverageCurrency / pctl_Currency_Name_PreferredCoverageCurrency / pctl_Currency_Description_PreferredCoverageCurrency|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7lineschedcovitem|Subtype|ID|policycenterlite.dbo.pctl_BP7LineSchedCovItem|pctl_BP7LineSchedCovItem_TypeCode_Subtype / pctl_BP7LineSchedCovItem_Name_Subtype / pctl_BP7LineSchedCovItem_Description_Subtype|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7location|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7location|BP7EarthquakeZone|ID|policycenterlite.dbo.pctl_BP7EQZone|pctl_bp7eqzone_typecode / pctl_bp7eqzone_name / pctl_bp7eqzone_description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7location|BP7FeetToHydrant|ID|policycenterlite.dbo.pctl_BP7FeetToHydrant|pctl_bp7feettohydrant_typecode / pctl_bp7feettohydrant_name / pctl_bp7feettohydrant_description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7location|BP7FireProtectionClass|ID|policycenterlite.dbo.pctl_BP7FireProtectionClass|pctl_bp7fireprotectionclass_typecode / pctl_bp7fireprotectionclass_name / pctl_bp7fireprotectionclass_description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7location|PreferredCoverageCurrency|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode / pctl_Currency_Name / pctl_Currency_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7locationanswer_ext|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7locationcond|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7locationcond|Currency|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode_Currency / pctl_Currency_Name_Currency / pctl_Currency_Description_Currency|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7locationcond|Subtype|ID|policycenterlite.dbo.pctl_BP7LocationCond|pctl_BP7LocationCond_TypeCode_Subtype / pctl_BP7LocationCond_Name_Subtype / pctl_BP7LocationCond_Description_Subtype|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7locationcov|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7locationcov|Currency|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode / pctl_Currency_Name / pctl_Currency_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7locationcov|Subtype|ID|policycenterlite.dbo.pctl_BP7LocationCov|pctl_BP7LocationCov_TypeCode / pctl_BP7LocationCov_Name / pctl_BP7LocationCov_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7locationexcl|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7locationexcl|Currency|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode / pctl_Currency_Name / pctl_Currency_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7locationexcl|Subtype|ID|policycenterlite.dbo.pctl_BP7LocationExcl|pctl_BP7LocationExcl_TypeCode / pctl_BP7LocationExcl_Name / pctl_BP7LocationExcl_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7locationschedconditem|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7locationschedconditem|Subtype|ID|policycenterlite.dbo.pctl_BP7LocationSchedCondItem|pctl_BP7LocationSchedCondItem_TypeCode_Subtype / pctl_BP7LocationSchedCondItem_Name_Subtype / pctl_BP7LocationSchedCondItem_Description_Subtype|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7modeledexpgrade_ext|State|ID|policycenterlite.dbo.pctl_Jurisdiction|pctl_Jurisdiction_TypeCode / pctl_Jurisdiction_Name / pctl_Jurisdiction_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7modexposuregrade_ext|State|ID|policycenterlite.dbo.pctl_Jurisdiction|pctl_Jurisdiction_TypeCode / pctl_Jurisdiction_Name / pctl_Jurisdiction_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7qustnsfredgandslsfunl|UnavailableState|ID|policycenterlite.dbo.pctl_State|pctl_State_TypeCode_UnavailableState / pctl_State_Name_UnavailableState / pctl_State_Description_UnavailableState|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7storedfactors_ext|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7storedfactors_ext|Subtype|ID|policycenterlite.dbo.pctl_BP7StoredFactors_Ext|pctl_BP7StoredFactors_Ext_TypeCode / pctl_BP7StoredFactors_Ext_Name / pctl_BP7StoredFactors_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7transaction|Amount_cur|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode2 / pctl_Currency_Name2 / pctl_Currency_Description2|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7transaction|AmountBilling_cur|ID|policycenterlite.dbo.pctl_Currency|pctl_Currency_TypeCode1 / pctl_Currency_Name1 / pctl_Currency_Description1|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7transaction|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7whpercentsc_e|BuildingValue|ID|policycenterlite.dbo.pctl_BuildingRangeTX_Ext|pctl_BuildingRangeTX_Ext_TypeCode / pctl_BuildingRangeTX_Ext_Name / pctl_BuildingRangeTX_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7whpercenttx_e|BuildingValue|ID|policycenterlite.dbo.pctl_BuildingRangeTX_Ext|pctl_BuildingRangeTX_Ext_TypeCode / pctl_BuildingRangeTX_Ext_Name / pctl_BuildingRangeTX_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_Bp7WindHailHabitCountyRef|State|ID|policycenterlite.dbo.pctl_State|pctl_State_TypeCode / pctl_State_Name / pctl_State_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_Bp7WindHailHabitCountyRef|Subtype|ID|policycenterlite.dbo.pctl_Bp7WindHailHabitCtyRef|pctl_Bp7WindHailHabitCtyRef_TypeCode / pctl_Bp7WindHailHabitCtyRef_Name / pctl_Bp7WindHailHabitCtyRef_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7windhailpercent_ext|AirZoneRating|ID|policycenterlite.dbo.pctl_AirZoneRate_BOP_Ext|pctl_AirZoneRate_BOP_Ext_TypeCode / pctl_AirZoneRate_BOP_Ext_Name / pctl_AirZoneRate_BOP_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_bp7windhailpercent_ext|BuildingValue|ID|policycenterlite.dbo.pctl_BuildingLimitRange|pctl_BuildingLimitRange_TypeCode / pctl_BuildingLimitRange_Name / pctl_BuildingLimitRange_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_BPCBatch_Ext|Source|ID|policycenterlite.dbo.pctl_BPCSource_Ext|pctl_BPCSource_Ext_TypeCode / pctl_BPCSource_Ext_Name / pctl_BPCSource_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_BPCBatch_Ext|Targets|ID|policycenterlite.dbo.pctl_BPCTargets_Ext|pctl_BPCTargets_Ext_TypeCode / pctl_BPCTargets_Ext_Name / pctl_BPCTargets_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_BPCBatch_Ext|Type|ID|policycenterlite.dbo.pctl_BPCType_Ext|pctl_BPCType_Ext_TypeCode / pctl_BPCType_Ext_Name / pctl_BPCType_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_BPCRecord_Ext|Jobtype|ID|policycenterlite.dbo.pctl_Job|pctl_Job_TypeCode / pctl_Job_Name / pctl_Job_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_BPCRecord_Ext|Reason|ID|policycenterlite.dbo.pctl_BPCReason_Ext|pctl_BPCReason_Ext_TypeCode / pctl_BPCReason_Ext_Name / pctl_BPCReason_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_BPCRecord_Ext|Status|ID|policycenterlite.dbo.pctl_BPCRecordStatus_Ext|pctl_BPCRecordStatus_Ext_TypeCode / pctl_BPCRecordStatus_Ext_Name / pctl_BPCRecordStatus_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_BPCRecord_Ext|Subtype|ID|policycenterlite.dbo.pctl_BPCRecord_Ext|pctl_BPCRecord_Ext_TypeCode / pctl_BPCRecord_Ext_Name / pctl_BPCRecord_Ext_Description|TypeCode / Name / Description
policycenterlite.dbo.pcx_buildersRisk|buildersRiskType|ID|policycenterlite.dbo.pctl_BuildersRisk|pctl_BuildersRisk_TypeCode_buildersRiskType / pctl_BuildersRisk_Name_buildersRiskType / pctl_BuildersRisk_Description_buildersRiskType|TypeCode / Name / Description
policycenterlite.dbo.pcx_buildersRisk|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode_ChangeType / pctl_EffDatedChangeType_Name_ChangeType / pctl_EffDatedChangeType_Description_ChangeType|TypeCode / Name / Description
policycenterlite.dbo.pc_building|AlarmCertification|ID|policycenterlite.dbo.pctl_AlarmCertification|pctl_AlarmCertification_TypeCode / pctl_AlarmCertification_Name / pctl_AlarmCertification_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_building|AlarmClass|ID|policycenterlite.dbo.pctl_AlarmClass|pctl_AlarmClass_TypeCode / pctl_AlarmClass_Name / pctl_AlarmClass_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_building|AlarmGrade|ID|policycenterlite.dbo.pctl_AlarmGrade|pctl_AlarmGrade_TypeCode / pctl_AlarmGrade_Name / pctl_AlarmGrade_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_building|AreaLeased|ID|policycenterlite.dbo.pctl_AreaLeased|pctl_AreaLeased_TypeCode / pctl_AreaLeased_Name / pctl_AreaLeased_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_building|BuildingAlarmType|ID|policycenterlite.dbo.pctl_BuildingAlarmType|pctl_BuildingAlarmType_TypeCode / pctl_BuildingAlarmType_Name / pctl_BuildingAlarmType_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_building|BurglarySafeguard|ID|policycenterlite.dbo.pctl_BurglarySafeguard|pctl_BurglarySafeguard_TypeCode / pctl_BurglarySafeguard_Name / pctl_BurglarySafeguard_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_building|ChangeType|ID|policycenterlite.dbo.pctl_EffDatedChangeType|pctl_EffDatedChangeType_TypeCode / pctl_EffDatedChangeType_Name / pctl_EffDatedChangeType_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_building|ConstructionType|ID|policycenterlite.dbo.pctl_ConstructionType|pctl_ConstructionType_TypeCode / pctl_ConstructionType_Name / pctl_ConstructionType_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_building|EffectivenessGrade|ID|policycenterlite.dbo.pctl_EffectivenessGrade|pctl_EffectivenessGrade_TypeCode /  pctl_EffectivenessGrade_Name /  pctl_EffectivenessGrade_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_building|InterestType|ID|policycenterlite.dbo.pctl_InterestType|pctl_InterestType_TypeCode /  pctl_InterestType_Name /  pctl_InterestType_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_building|PercentOccupied|ID|policycenterlite.dbo.pctl_PercentOccupied|pctl_PercentOccupied_TypeCode /  pctl_PercentOccupied_Name /  pctl_PercentOccupied_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_building|PercentVacant|ID|policycenterlite.dbo.pctl_PercentByTens|pctl_PercentByTens_TypeCode1 /  pctl_PercentByTens_Name1 /  pctl_PercentByTens_Description1|TypeCode / Name / Description
policycenterlite.dbo.pc_building|RentedOthers|ID|policycenterlite.dbo.pctl_PercentByTens|pctl_PercentByTens_TypeCode2 /  pctl_PercentByTens_Name2 /  pctl_PercentByTens_Description2|TypeCode / Name / Description
policycenterlite.dbo.pc_building|RoofType|ID|policycenterlite.dbo.pctl_RoofType|pctl_RoofType_TypeCode /  pctl_RoofType_Name /  pctl_RoofType_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_building|SprinklerCoverage|ID|policycenterlite.dbo.pctl_Sprinklered|pctl_Sprinklered_TypeCode /  pctl_Sprinklered_Name /  pctl_Sprinklered_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_building|Subtype|ID|policycenterlite.dbo.pctl_Building|pctl_Building_TypeCode / pctl_Building_Name / pctl_Building_Description|TypeCode / Name / Description
policycenterlite.dbo.pc_building|WindRating|ID|policycenterlite.dbo.pctl_WindRating|pctl_WindRating_TypeCode /  pctl_WindRating_Name /  pctl_WindRating_Description|TypeCode / Name / Description
