DB/TABLE|Send to Lake|PII (Y/N)|CDC Column|LookUp Ref|HardDeleteFlag|PartitionBy|NumPartitions|Rows|Note
PolicyCenter.dbo.pc_industrycodeclasscode|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_jobgroup|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_jobpolicyperiod|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_jobuserroleassign|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_licensedstate|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_linkedaddress|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_losshistentry|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_minimumpremium|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_modifierlookup|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_mvr|Y|Y|UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_mvrconfig|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_mvrincident|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_mvrlicense|Y|Y|UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_mvrorder|Y|Y|UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_nonrenewalexplanation|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_nonrenewalexppattern|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_note|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_notificationconfig|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_offeringlookup|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_officialid|Y|Y|UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_officialidvalidationinfo|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_organization|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_orggroup|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_pacost|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_palineexcl|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_pamodifier|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_parameter|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_parentgroup|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_patransaction|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_pavehmodifier|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_paymentplansummary|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_pendingaddressupd|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_pendingcontactupd|Y|Y|UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_periodanswer|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_personalautocov|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_personalvehicle|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_personalvehiclecov|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_pmlockedentity|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_pmlockedfield|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_polholddesc_l10n|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_polholdlong_l10n|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_policy|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_policyaddlinsureddetail|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_policyaddress|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_policycontactrole|Y|Y|UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_policydrivermvr|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_policyexception|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_policyhold|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_policyholdjob|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_policyholdrule|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_policyholdzone|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_policyline|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_policylineanswer|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_policylocation|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_policyperiod|Y|Y|UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_policypolicydivide|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_policyterm|Y|Y|UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_policyuserroleassign|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_prcod_desc_l10n|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_PrimaryAcctLoc|Y||ID|Y|ID|ID|||
PolicyCenter.dbo.pc_priorpolicy|Y||UpdateTime|Y|ID|ID|||
PolicyCenter.dbo.pc_prodratefactorlookup|Y||UpdateTime|Y||ID|||
PolicyCenter.dbo.pc_producercode|Y||UpdateTime|Y||ID|||
